fecha,valor
2015-03-01,43068
2015-04-01,43240
2015-05-01,43499
2015-06-01,43760
2015-07-01,43848
2015-08-01,44067
2015-09-01,44243
2015-10-01,44553
2015-11-01,44776
2015-12-01,44955
2016-01-01,44955
2016-02-01,44955
2016-03-01,45180
2016-04-01,45316
2016-05-01,45497
2016-06-01,45633
2016-07-01,45724
2016-08-01,45907
2016-09-01,45999
2016-10-01,45999
2016-11-01,46091
2016-12-01,46183
2017-01-01,46229
2017-02-01,46137
2017-03-01,46368
2017-04-01,46461
2017-05-01,46647
2017-06-01,46740
2017-07-01,46787
2017-08-01,46600
2017-09-01,46693
2017-10-01,46786
2017-11-01,46692
2017-12-01,46972
2018-01-01,47019
2018-02-01,47066
2018-03-01,47301
2018-04-01,47301
2018-05-01,47396
2018-06-01,47538
2018-07-01,47681
2018-08-01,47729
2018-09-01,47920
2018-10-01,48016
2018-11-01,48160
2018-12-01,48353
2019-01-01,48353
2019-02-01,48305
2019-03-01,48353
2019-04-01,48353
2019-05-01,48595
2019-06-01,48741
2019-07-01,49033
2019-08-01,49033
2019-09-01,49131
2019-10-01,49229
2019-11-01,49229
2019-12-01,49623
2020-01-01,49673
2020-02-01,49723
2020-03-01,50021
2020-04-01,50221
2020-05-01,50372
2020-06-01,50372
2020-07-01,50322
2020-08-01,50272
2020-09-01,50322
2020-10-01,50372
2020-11-01,50674
2020-12-01,51029
2021-01-01,50978
2021-02-01,51131
2021-03-01,51489
2021-04-01,51592
2021-05-01,51798
2021-06-01,52005
2021-07-01,52161
2021-08-01,52213
2021-09-01,52631
2021-10-01,52842
2021-11-01,53476
2021-12-01,54171
2022-01-01,54442
2022-02-01,54878
2022-03-01,55537
2022-04-01,55704
2022-05-01,56762
2022-06-01,57557
2022-07-01,58248
2022-08-01,58772
2022-09-01,59595
2022-10-01,60310
2022-11-01,60853
2022-12-01,61157
2023-01-01,61769
2023-02-01,61954
2023-03-01,62450
2023-04-01,62388
2023-05-01,63074
2023-06-01,63263
2023-07-01,63326
2023-08-01,63199
2023-09-01,63452
2023-10-01,63515
2023-11-01,63960
2023-12-01,64216
2024-01-01,64666
2024-02-01,64343
2024-03-01,64793
2024-04-01,65182
2024-05-01,65443
2024-06-01,65770
2024-07-01,65967
2024-08-01,65901
2024-09-01,66362
2024-10-01,66561
2024-11-01,66628
2024-12-01,67294
2025-01-01,67429
2025-02-01,67294
2025-03-01,68034
2025-04-01,68306
2025-05-01,68648
2025-06-01,68785
